term,stem,count,x,y,z,x,y,sample_size,ratio,google_w2v_x,google_w2v_y,,180,260
army,armi,4,,,,,,1000,0.004,-0.300930689,0.572878705,,,
airport,airport,4,,,,,,1000,0.004,-0.629670981,0.376470188,,,
aircraft,aircraft,4,,,,,,1000,0.004,-0.704214191,0.04564468,,,
agriculture,agricultur,4,,,,,,1000,0.004,-0.544700756,-0.059725238,,,
adviser,advis,4,,,,,,1000,0.004,-0.899495788,-0.058656706,,,
administration's,administr,4,,,,,,1000,0.004,-0.622883801,-0.066387775,,,
accuse,accus,4,,,,,,1000,0.004,-0.662782808,0.21193519,,,
academy,academi,4,,,,,,1000,0.004,-0.694862294,0.341633761,,,
01-Mar,01-Mar,4,,,,,,1000,0.004,,,,,
yorkshire,yorkshir,3,,,,,,1000,0.003,0.630309181,-0.014310366,,,
yemen,yemen,3,,,,,,1000,0.003,0.530297474,-0.102012753,,,
yankees,yanke,3,,,,,,1000,0.003,1.51160791,0.548109663,,,
worsened,worsen,3,,,,,,1000,0.003,-0.687116323,-0.196288285,,,
withdraw,withdraw,3,,,,,,1000,0.003,-0.748798756,-0.065937245,,,
whistleblower,whistleblow,3,,,,,,1000,0.003,-0.572767212,0.051137416,,,
western,western,3,,,,,,1000,0.003,-0.367173269,-0.103756991,,,
week's,week,3,,,,,,1000,0.003,-0.723496805,-0.022950606,,,
warriors,warrior,3,,,,,,1000,0.003,-0.13820234,0.284307775,,,
warren,warren,3,,,,,,1000,0.003,0.143869671,0.149467078,,,
vitamin,vitamin,3,,,,,,1000,0.003,-0.201411763,-0.068870332,,,
violent,violent,3,,,,,,1000,0.003,-0.564340689,0.389311103,,,
vietnam,vietnam,3,,,,,,1000,0.003,1.351140844,0.021269706,,,
victims,victim,3,,,,,,1000,0.003,-0.663503594,0.428849548,,,
users,user,3,,,,,,1000,0.003,-0.332343671,-0.756199263,,,
unprecedented,unpreced,3,,,,,,1000,0.003,-0.830268287,-0.470050092,,,
unemployment,unemploy,3,,,,,,1000,0.003,-0.663826625,0.319642794,,,
undermining,undermin,3,,,,,,1000,0.003,-0.595364612,-0.403158046,,,
ukraine,ukrain,3,,,,,,1000,0.003,0.620413225,-0.193891753,,,
